Week,Repo Url,Name,Type
8,,,Project Time
8,,,Project Time
8,,,Presentation
8,https://git.generalassemb.ly/ga-wdi-boston/js-function-context-this,JavaScript: this,Training
8,https://git.generalassemb.ly/ga-wdi-boston/git-workflow-teams,Team Workflow with Git and Github,Training
8,https://git.generalassemb.ly/ga-wdi-boston/node-api,Introduction to the Node API,Training
8,https://git.generalassemb.ly/ga-wdi-boston/sql-nosql-study,Relational and Non-relational Databases Study,Study
8,https://git.generalassemb.ly/ga-wdi-boston/js-function-context-this-diagnostic,JS Scope and Context Diagnostic,Diagnostic
8,https://git.generalassemb.ly/ga-wdi-boston/node-api-promises/,Using Promises with Node API,Training
8,https://git.generalassemb.ly/ga-wdi-boston/sql-nosql-discussion,Discussion: Relational and Non-relationshal Databases,Training
8,https://git.generalassemb.ly/ga-wdi-boston/mongodb-study,mongodb-crud study,Study
8,https://git.generalassemb.ly/ga-wdi-boston/aws-s3-setup-guide,Simple Storage Service on Amazon Web Services setup,Guide
